[0.000000] (-) TimerEvent: {}
[0.000101] (-) JobUnselected: {'identifier': 'articubot_one'}
[0.000126] (-) JobUnselected: {'identifier': 'control_msgs'}
[0.000144] (-) JobUnselected: {'identifier': 'husky_base'}
[0.000270] (-) JobUnselected: {'identifier': 'husky_bringup'}
[0.000317] (-) JobUnselected: {'identifier': 'husky_control'}
[0.000334] (-) JobUnselected: {'identifier': 'husky_description'}
[0.000368] (-) JobUnselected: {'identifier': 'husky_desktop'}
[0.000400] (-) JobUnselected: {'identifier': 'husky_gazebo'}
[0.000416] (-) JobUnselected: {'identifier': 'husky_msgs'}
[0.000447] (-) JobUnselected: {'identifier': 'husky_robot'}
[0.000478] (-) JobUnselected: {'identifier': 'husky_simulator'}
[0.000493] (-) JobUnselected: {'identifier': 'husky_viz'}
[0.000525] (-) JobUnselected: {'identifier': 'mapviz_plugins'}
[0.000551] (-) JobUnselected: {'identifier': 'realtime_tools'}
[0.000581] (-) JobUnselected: {'identifier': 'robo_base'}
[0.000606] (-) JobUnselected: {'identifier': 'rtcm_msgs'}
[0.000631] (-) JobUnselected: {'identifier': 'tile_map'}
[0.000647] (-) JobUnselected: {'identifier': 'turtlebot3_fake_node'}
[0.000707] (-) JobUnselected: {'identifier': 'turtlebot3_gazebo'}
[0.000723] (-) JobUnselected: {'identifier': 'turtlebot3_simulations'}
[0.000753] (-) JobUnselected: {'identifier': 'wetexplorer_control'}
[0.000768] (-) JobUnselected: {'identifier': 'wetexplorer_gazebo'}
[0.000785] (-) JobUnselected: {'identifier': 'wetexplorer_hardware'}
[0.000809] (-) JobUnselected: {'identifier': 'wetexplorer_navigation'}
[0.000835] (wetexplorer_description) JobQueued: {'identifier': 'wetexplorer_description', 'dependencies': OrderedDict()}
[0.000860] (wetexplorer_description) JobStarted: {'identifier': 'wetexplorer_description'}
[0.011332] (wetexplorer_description) JobProgress: {'identifier': 'wetexplorer_description', 'progress': 'cmake'}
[0.012650] (wetexplorer_description) JobProgress: {'identifier': 'wetexplorer_description', 'progress': 'build'}
[0.012716] (wetexplorer_description) Command: {'cmd': ['/usr/bin/cmake', '--build', '/ros2_ws/build/wetexplorer_description', '--', '-j12', '-l12'], 'cwd': '/ros2_ws/build/wetexplorer_description', 'env': OrderedDict([('HOSTNAME', 'pablo-computer'), ('IGNITION_VERSION', 'fortress'), ('SHLVL', '1'), ('LD_LIBRARY_PATH', '/usr/lib/x86_64-linux-gnu/gazebo-11/plugins:/opt/ros/humble/opt/rviz_ogre_vendor/lib:/opt/ros/humble/lib/x86_64-linux-gnu:/opt/ros/humble/lib'), ('HOME', '/home/ros'), ('OLDPWD', '/home/ros'), ('ROS_PYTHON_VERSION', '3'), ('COLCON_PREFIX_PATH', '/ros2_ws/install'), ('ROS_DISTRO', 'humble'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('TERM', 'xterm'), ('ROS_LOCALHOST_ONLY', '0'), ('PATH', '/opt/ros/humble/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin'), ('DISPLAY', ':1'), ('LANG', 'C.UTF-8'), ('LS_COLORS', 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.webp=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:'), ('AMENT_PREFIX_PATH', '/ros2_ws/install/husky_description:/ros2_ws/install/ros2_controllers_test_nodes:/ros2_ws/install/ros2_control_test_assets:/ros2_ws/install/ros2_control_demo_description:/ros2_ws/install/wetexplorer_description:/ros2_ws/install/articubot_one:/opt/ros/humble'), ('PWD', '/ros2_ws/build/wetexplorer_description'), ('TURTLEBOT3_MODEL', 'burger'), ('LC_ALL', 'C.UTF-8'), ('PYTHONPATH', '/ros2_ws/install/ros2_controllers_test_nodes/lib/python3.10/site-packages:/opt/ros/humble/lib/python3.10/site-packages:/opt/ros/humble/local/lib/python3.10/dist-packages'), ('COLCON', '1'), ('CMAKE_PREFIX_PATH', '/ros2_ws/install/ros2_control_test_assets:/ros2_ws/install/ros2_control_demo_description:/ros2_ws/install/husky_description:/ros2_ws/install/wetexplorer_description:/ros2_ws/install/articubot_one:/ros2_ws/install/ros2_controllers_test_nodes:/opt/ros/humble')]), 'shell': False}
[0.050620] (wetexplorer_description) CommandEnded: {'returncode': 0}
[0.072891] (wetexplorer_description) JobProgress: {'identifier': 'wetexplorer_description', 'progress': 'install'}
[0.080898] (wetexplorer_description) Command: {'cmd': ['/usr/bin/cmake', '--install', '/ros2_ws/build/wetexplorer_description'], 'cwd': '/ros2_ws/build/wetexplorer_description', 'env': OrderedDict([('HOSTNAME', 'pablo-computer'), ('IGNITION_VERSION', 'fortress'), ('SHLVL', '1'), ('LD_LIBRARY_PATH', '/usr/lib/x86_64-linux-gnu/gazebo-11/plugins:/opt/ros/humble/opt/rviz_ogre_vendor/lib:/opt/ros/humble/lib/x86_64-linux-gnu:/opt/ros/humble/lib'), ('HOME', '/home/ros'), ('OLDPWD', '/home/ros'), ('ROS_PYTHON_VERSION', '3'), ('COLCON_PREFIX_PATH', '/ros2_ws/install'), ('ROS_DISTRO', 'humble'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('TERM', 'xterm'), ('ROS_LOCALHOST_ONLY', '0'), ('PATH', '/opt/ros/humble/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin'), ('DISPLAY', ':1'), ('LANG', 'C.UTF-8'), ('LS_COLORS', 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.webp=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:'), ('AMENT_PREFIX_PATH', '/ros2_ws/install/husky_description:/ros2_ws/install/ros2_controllers_test_nodes:/ros2_ws/install/ros2_control_test_assets:/ros2_ws/install/ros2_control_demo_description:/ros2_ws/install/wetexplorer_description:/ros2_ws/install/articubot_one:/opt/ros/humble'), ('PWD', '/ros2_ws/build/wetexplorer_description'), ('TURTLEBOT3_MODEL', 'burger'), ('LC_ALL', 'C.UTF-8'), ('PYTHONPATH', '/ros2_ws/install/ros2_controllers_test_nodes/lib/python3.10/site-packages:/opt/ros/humble/lib/python3.10/site-packages:/opt/ros/humble/local/lib/python3.10/dist-packages'), ('COLCON', '1'), ('CMAKE_PREFIX_PATH', '/ros2_ws/install/ros2_control_test_assets:/ros2_ws/install/ros2_control_demo_description:/ros2_ws/install/husky_description:/ros2_ws/install/wetexplorer_description:/ros2_ws/install/articubot_one:/ros2_ws/install/ros2_controllers_test_nodes:/opt/ros/humble')]), 'shell': False}
[0.088717] (wetexplorer_description) StdoutLine: {'line': b'-- Install configuration: ""\n'}
[0.088962] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/launch\n'}
[0.089169] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/launch/rsp.launch.py\n'}
[0.089341] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/launch/view.launch\n'}
[0.089500] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/launch/description.launch.py\n'}
[0.089665] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes\n'}
[0.089809] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/pulleys_right_link.STL\n'}
[0.089997] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/base_link.STL\n'}
[0.090140] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/power_pulley_right_link.STL\n'}
[0.090258] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/WETExplorer\n'}
[0.090318] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/WETExplorer/pulleys_right_link.STL\n'}
[0.090375] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/WETExplorer/base_link.STL\n'}
[0.090450] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/WETExplorer/power_pulley_right_link.STL\n'}
[0.090549] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/WETExplorer/gps_frame_link.STL\n'}
[0.090685] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/WETExplorer/gas_analyzer_support_link.STL\n'}
[0.090761] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/WETExplorer/linear_actuator_link.STL\n'}
[0.090832] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/WETExplorer/gas_analyzer_link.STL\n'}
[0.090911] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/WETExplorer/gps_link.STL\n'}
[0.091040] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/WETExplorer/TCP.STL\n'}
[0.091160] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/WETExplorer/central_frame_link.STL\n'}
[0.091285] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/WETExplorer/coupling_link.STL\n'}
[0.091353] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/WETExplorer/chassis.STL\n'}
[0.091408] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/WETExplorer/track_right_link.STL\n'}
[0.091483] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/WETExplorer/pulley_support_left_link.STL\n'}
[0.091552] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/WETExplorer/chamber_holder_link.STL\n'}
[0.091635] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/WETExplorer/imu_link.STL\n'}
[0.091689] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/WETExplorer/pulley_support_right_link.STL\n'}
[0.091749] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/WETExplorer/prismatic_link.STL\n'}
[0.091804] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/WETExplorer/pulleys_left_link.STL\n'}
[0.091858] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/WETExplorer/power_pulley_left_link.STL\n'}
[0.091912] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/WETExplorer/linear_actuator_support_link.STL\n'}
[0.092016] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/WETExplorer/track_left_link.STL\n'}
[0.092108] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/WETExplorer/chamber_link.STL\n'}
[0.092198] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/extra\n'}
[0.092289] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/extra/gps_link_2.STL\n'}
[0.092372] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/extra/aluminium_frame_link.STL\n'}
[0.092431] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/extra/linear_actuator_link.STL\n'}
[0.092494] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/extra/gas_analyzer_link.STL\n'}
[0.092549] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/extra/gps_link.STL\n'}
[0.092602] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/extra/chamber_original.STL\n'}
[0.092656] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/extra/imu_link.STL\n'}
[0.092734] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/extra/chamber_link.STL\n'}
[0.092852] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/chassis.STL\n'}
[0.092973] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/track_right_link.STL\n'}
[0.093114] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/pulley_support_left_link.STL\n'}
[0.093327] (wetexplorer_description) StdoutLine: {'line': b'-- Up-to-date: /ros2_ws/install/wetexplorer_description/share/wetexplorer_description/meshes/pulley_support_right_link.STL\n'}
