[0.000000] (-) TimerEvent: {}
[0.000262] (-) JobUnselected: {'identifier': 'articubot_one'}
[0.000339] (-) JobUnselected: {'identifier': 'control_msgs'}
[0.000401] (-) JobUnselected: {'identifier': 'husky_base'}
[0.000466] (-) JobUnselected: {'identifier': 'husky_bringup'}
[0.000660] (-) JobUnselected: {'identifier': 'husky_control'}
[0.000918] (-) JobUnselected: {'identifier': 'husky_description'}
[0.001022] (-) JobUnselected: {'identifier': 'husky_desktop'}
[0.001091] (-) JobUnselected: {'identifier': 'husky_gazebo'}
[0.001156] (-) JobUnselected: {'identifier': 'husky_msgs'}
[0.001213] (-) JobUnselected: {'identifier': 'husky_robot'}
[0.001287] (-) JobUnselected: {'identifier': 'husky_simulator'}
[0.001349] (-) JobUnselected: {'identifier': 'husky_viz'}
[0.001413] (-) JobUnselected: {'identifier': 'mapviz_plugins'}
[0.001470] (-) JobUnselected: {'identifier': 'realtime_tools'}
[0.001531] (-) JobUnselected: {'identifier': 'robo_base'}
[0.001583] (-) JobUnselected: {'identifier': 'rtcm_msgs'}
[0.001642] (-) JobUnselected: {'identifier': 'tile_map'}
[0.001695] (-) JobUnselected: {'identifier': 'turtlebot3_fake_node'}
[0.001742] (-) JobUnselected: {'identifier': 'turtlebot3_gazebo'}
[0.001814] (-) JobUnselected: {'identifier': 'turtlebot3_simulations'}
[0.001875] (-) JobUnselected: {'identifier': 'wetexplorer_control'}
[0.001924] (-) JobUnselected: {'identifier': 'wetexplorer_description'}
[0.001971] (-) JobUnselected: {'identifier': 'wetexplorer_gazebo'}
[0.002018] (-) JobUnselected: {'identifier': 'wetexplorer_hardware'}
[0.002065] (-) JobUnselected: {'identifier': 'wetexplorer_navigation'}
[0.002114] (-) EventReactorShutdown: {}
